Date,Title,Text,source
2025-08-01,„Bürgergeld“-Irrsinn: Afghanische Großfamilie kassiert rund 7.000 Euro Stütze!,"In Hamburg kassiert eine siebenköpfige afghanische Familie fast 7.000 Euro sogenanntes „Bürgergeld“. Absurd: Allein 5.100 Euro der Summe fließen an den städtischen Vermieter einer Asylunterkunft. Empfänger soll laut einem Medienbericht (NiUS) das Sozialunternehmen „fördern und wohnen“ sein, das sich zu 100 Prozent im Besitz der Stadt Hamburg befindet.

In der Hanestadt zeigt sich der „Bürgergeld“-Irrsinn in voller Blüte: Einer der Söhne, Musawer (18), posiert mit schnellen Sportautos, postet auf TikTok Hashtags wie „rich“ oder „Dubai“. Vater Masoud zeigt sich auf Facebook mit dem Koran. Die Familie soll zu einem afghanischen Clan gehören, dem mehrere Lebensmittelgeschäfte in Hamburg und Berlin gehören.",Deutschlandkurier
2025-08-01,Terrorismus: Linke Gruppe bekennt sich zu Kabel-Anschlägen auf Bahnverkehr in NRW,"Ein vermutlich absichtlich gelegter Kabelbrand an einer der meist befahrenen Zugstrecken Deutschlands zwischen Duisburg und Düsseldorf sorgt in Nordrhein-Westfalen weiterhin für Chaos im Bahnverkehr. Es kommt zu massiven Behinderungen im Berufsverkehr. Zehntausende Reisende müssen in der Metropol-Region auf Busse ausweichen, Züge werden weiträumig umgeleitet. Betroffen sind auch der Pendelverkehr zum Düsseldorfer Flughafen sowie der ICE-Verkehr nach Berlin, Frankfurt am Main, Hamburg und in die Niederlande.

Der Staatsschutz geht von einem Sabotageakt aus. Auf der linken Plattform „Indymedia“ wurde ein Bekennerschreiben veröffentlicht. Ein „Kommando Angry Birds“ reklamiert darin die Tat für sich.

Die Kabel gehören zu einem Stellwerk in Duisburg, der Brand sei aber im Düsseldorfer Stadtgebiet ausgebrochen, sagte ein Bahnsprecher.",Deutschlandkurier
2025-08-01,Brosius-Gersdorf soll weichen:  SPD-Ministerpräsident Woidke fordert drei neue Richter-Kandidaten,"Die Wahl der links-radikalen Kandidatin Frauke Brosius-Gersdorf zur Verfassungsrichterin scheiterte im Bundestag – in der Union findet sich keine Mehrheit für die SPD-Kandidatin. Die CSU schlägt später vor, alle drei Kandidaten zu ersetzen. Anders als seine Partei sieht auch Dietmar Woidke darin die Lösung.

Brandenburgs Ministerpräsident Dietmar Woidke (SPD) schlägt im festgefahrenen Streit um die Besetzung dreier Posten beim Bundesverfassungsgericht einen kompletten Austausch der bisherigen Namen vor. „Ich halte es für nötig, dass die Fraktionen im Bundestag schnell einen Ausweg aus dieser Situation finden und einen Lösungsvorschlag unterbreiten“, sagte Woidke der Nachrichtenagentur dpa. „Dieser Ausweg kann aus meiner Sicht nur darin bestehen, dass alle Kandidaten zurückgezogen werden und dieses Verfahren durch die Fraktionen im Deutschen Bundestag völlig neu aufgesetzt wird.“

Damit nimmt Woidke eine andere Position ein als die SPD im Bund, die weiter hinter ihrer links-radikalen Kandidatin Frauke Brosius-Gersdorf steht. Das Verfahren werfe kein gutes Licht auf die Berliner Koalition auf Bundesebene, sagte Woidke.

Die Wahl von drei Richtern für das Bundesverfassungsgericht war am 11. Juli kurzfristig von der Tagesordnung des Bundestags genommen worden, weil es Widerstand innerhalb der Unionsfraktion gegen Brosius-Gersdorf gab. Die Fraktionsspitze konnte die Zustimmung zu ihr nicht mehr garantieren – obwohl das vorher zugesagt war.

Als weitere Kandidatin hat die SPD die ebenfalls extrem linke Staatsrechtlerin Ann-Katrin Kaufhold vorgeschlagen, die Union hat den Bundesarbeitsrichter Günter Spinner nominiert.

CSU-Landesgruppenchef Alexander Hoffmann hatte vorgeschlagen, ein neues Richterpaket zu schnüren – das stieß bei SPD und „Grünen“ auf Widerstand.

Gegen Brosius-Gersdorf gibt es in der Union Vorbehalte, unter anderem wegen ihrer aus Sicht mancher Abgeordneter zu „liberalen Haltung“ zu Abtreibungen und ihrer positiven Haltung zu einer Impfpflicht während der Corona-Krise. Seit 2021 hat Brosius-Gersdorf den Lehrstuhl für Öffentliches Recht, insbesondere Verfassungsrecht und Sozialrecht, an der Universität Potsdam inne.

Der Brandenburger Ministerpräsident appellierte an alle Beteiligten, sich zu einigen. Er riet dazu, die Oppositionsparteien „außer der AfD früh einzubeziehen“.

„Die Parteien, die man für eine Zwei-Drittel-Mehrheit braucht, müssen frühzeitig einbezogen werden – das sind die Linkspartei und die „Grünen“, so Woidke.

[Mit Material von dpa]",Deutschlandkurier
2025-08-01,„Caspar von Schrenck-Notzing“ – Konservatives Leben und Denken in Deutschland nach 1945 von Alexander Eiber,"Die Wege des Konservatismus in Deutschland nach 1945 sind versteckt. Freigelegt werden sie erst durch den Blick auf die überragenden Protagonisten selbst. Caspar von Schrenck-Notzing gehört zu den zentralen Köpfen dieser Denk- und Lebensrichtung, die in der jungen Bundesrepublik begann, sich neu zu formieren. Die Biographie Schrencks ist der rote Faden durch den Wiederaufstieg des Konservatismus zu einer intellektuellen und politischen Kraft in Deutschland. Mit diesem Buch von Alexander Eiber liegt nun die erste Biographie Caspar Schrencks vor. Caspar von Schrenck-Notzing (1927-2009) entstammt einer alten Münchner Familie. Als Intellektueller wurde er in der Bonner Republik zu einer der tonangebenden konservativen Stimmen, die bis heute bedeutend sind. Schrenck sammelte und organisierte angefangen von der Nachkriegszeit bis weit hinein in die Berliner Republik das konservative Denken in Deutschland und trug wesentlich dazu bei, den Konservatismus als geistig-kulturelle Bewegung politisch wieder schlagkräftig zu machen. Als Autor von sechs Büchern, Herausgeber der Zeitschrift Criticón und Instituts-Gründer schuf er Säulen konservativen Denkens. Wesentlich trug Schrenck auch zur internationalen Vernetzung des Konservatismus insbesondere zwischen Deutschland, den USA und Großbritannien bei. Er ist als Vordenker, aber vor allem als organisatorischer Kopf einer der zentralen Akteure des jüngeren deutschen Konservatismus und der politischen Rechten als Ganzes. Schrencks vielschichtiges Wirken wird in diesem Buch zum ersten Mal biographisch erforscht und minutiös rekonstruiert.

Bestellen Sie das Buch hier .",Deutschlandkurier
2025-08-01,„CO₂ is good for you!“ —  Trump schafft den Klimaschwindel ab!,"Während deutsche Weltuntergangsapologeten bei jeder Warmwetterphase („Hitzewelle!“) in hysterische Klimapanik verfallen, setzt US-Präsident Donald Trump ein klares Zeichen: CO₂ ist kein Schadstoff, sondern die Grundlage für Leben und Wachstum!

„CO₂ is good for you!“ meint auch der stellvertretende Vorsitzende der AfD-Fraktion im Landtag von Sachsen-Anhalt, Hans-Thomas Tillschneider:",Deutschlandkurier
2025-08-01,Kinderehen: Martin Sichert (AfD) rügt „skandalöse Untätigkeit der Bundesregierung“,"Die Bundesregierung hat eigenen Angaben zufolge keinerlei belastbare Erkenntnisse über die Zahl von verbotenen Kinderehen in Deutschland. Die Antwort der Regierung auf eine diesbezügliche Kleine Anfrage der AfD-Bundestagsfraktion offenbare „ein erschreckendes Ausmaß an Intransparenz, Datenlücken und politischer Tatenlosigkeit“, wie der AfD-Abgeordnete Martin Sichert, ordentliches Mitglied im Bundestags-Ausschuss für Menschenrechte und humanitäre Hilfe feststellt.

Sichert beklagt: „Während weiterhin Hunderte minderjährige Mädchen aus Krisenregionen in Deutschland als ‚verheiratet‘ geführt werden, verweigert die Regierung einen umfassenden Überblick und konsequentes Handeln. Die Bundesregierung hat keinerlei belastbare Kenntnis über das tatsächliche Ausmaß von Kinderehen.“ Weder würden diese zentral erfasst, noch existieren gesicherte Zahlen zu Entwicklung, Herkunft oder betroffenen Altersgruppen. „Die Existenz eines erheblichen Dunkelfelds wird schlichtweg hingenommen“, kritisiert Sichert die nach seinen Worten „skandalöse Untätigkeit der Bundesregierung.

Zum 31. Dezember 2024 verzeichnete das Ausländerzentralregister (AZR) zwar 279 minderjährige Ausländer mit Familienstand ‚verheiratet‘ – vor allem aus der Ukraine, Syrien und Afghanistan –, aber selbst hier wird laut Sichert eingeräumt: „Wer jünger als 16 ist oder wer aufgrund fehlender Meldung nicht erfasst wird, bleibt unsichtbar.“

AfD lässt nicht locker

Der AfD-Menschenrechtsexperte rügt: „Obwohl per Gesetz Kinderehen untersagt sind, offenbart die Bundesregierung, dass nur eine Handvoll gerichtlicher Aufhebungsverfahren pro Jahr stattfinden. Beratungspflichten für betroffene Minderjährige oder systematische Prävention gibt es nicht, genauso wenig wie Anlaufstellen speziell zum Schutz gefährdeter Minderjähriger.“

Eine Meldepflicht für Lehrkräfte oder Jugendämter sowie eine bundesweite Strategie oder effektive Kooperation mit Frauenrechts-NGOs gibt es ebenfalls nicht. „Der Schutz von Minderjährigen vor Zwangsehen und Missbrauch bleibt somit Flickwerk und Glückssache“, bilanziert Sichert und verspricht: „Die AfD-Fraktion wird dieses Behördenversagen nicht hinnehmen und das Thema konsequent parlamentarisch und öffentlichkeitswirksam weiterverfolgen: Für konsequenten Kinderschutz statt Papiervorschriften!“",Deutschlandkurier
2025-08-01,Größenwahn: Rechnungsprüfer rügen explodierende Baukosten für Kanzleramts-Neubau,"Die Baukosten für die Erweiterung des Bundeskanzleramts explodieren! Der Bundesrechnungshof (BRH) kritisiert in einem neuen Prüfbericht das Beharren der Regierung auf einer angeblich „bedarfsgerechten Büroflächenplanung“ als Begründung für den sechsstöckigen Monsterbau. Der Neubau auf der anderen Uferseite im Berliner Spreebogen gegenüber dem jetzigen Kanzleramt belastet die Steuerzahler mit geschätzten 777 Millionen Euro – nach anfänglich veranschlagten 485 Millionen.

Ausschlaggebend für den vermeintlichen Mehrbedarf an Büroräumen war die personelle Anhebung der Mitarbeiterzahl im Kanzleramt noch durch Ex-Kanzler Olaf Scholz (SPD). Auf der Webseite der Bundesregierung wird die Notwendigkeit der Baumaßnahme nach wie vor damit begründet, dass alle Beschäftigten dann wieder an einem Standort arbeiten könnten.

Die jüngste Kritik des Bundesrechnungshofes bezieht sich vor allem auf die vorgesehene Anzahl von Büroflächen. Derzeit verfügt das Bundeskanzleramt über 460 Büroplätze. Mit dem Erweiterungsbau soll Platz für weitere 590 Arbeitsplätze geschaffen werden, die sonst auf verschiedene Standorte verteilt werden müssten.

Die Bonner Rechnungsprüfer bestreiten den Mehrbedarf an Büroraum nicht grundsätzlich, halten aber dessen Veranschlagung für zu hoch. Selbst mit geplantem Zuwachs habe das Kanzleramt „einen Überhang von 266 Büroarbeitsplätzen“, ermittelte der BRH.",Deutschlandkurier
2025-08-01,Razzia bei Ex-Vertrauten in Bayern: Selenskyj versinkt im Korruptions-Sumpf!,"Die Maske fällt: Während der ukrainische Präsident Wolodymyr Selenskyj im Westen noch immer als „Held der Demokratie“ gefeiert wird, versinkt sein engster Machtzirkel immer tiefer im Korruptionssumpf. Die Ermittlungen gegen das Umfeld von Selenskyj reichen bis nach Bayern. Derweil wirft die Merz-Regierung dem korrupten System in Kiew weiterhin die Milliarden der deutschen Steuerzahler in den Rachen.

Unter dem Druck von Massenprotesten im Inland und nach massiven Protesten selbst von Seiten der EU hat der ukrainische Autokrat Wolodymyr Selenskyj in dieser Woche die Autonomie der ukrainischen Anti-Korruptions-Behörden wiederhergestellt (wiederherstellen müssen). Wollte Selenskyj deren Kompetenzen der ihm direkt unterstellten Generalstaatsanwaltschaft nur deshalb übertragen, weil er selbst etwas zu verbergen hat? Engste Vertraute des Präsidenten stehen unter Korruptionsverdacht.

Razzia am Starnberger See

Immer offensichtlicher wird: Der Machthaber in Kiew steht unter Druck. Medienberichten zufolge haben deutsche Behörden am 15. Juli ein Anwesen des ehemaligen Vizechefs des ukrainischen Präsidialamtes, Rostyslaw Schurma, in Starnberg bei München durchsucht.

Vorausgegangen war ein Rechtshilfeersuchen des Nationalen Antikorruptions-Büros der Ukraine (NABU), das gegen mehrere Personen aus Selenskyjs engstem Umfeld ermittelt. darunter der frühere Wirtschaftsberater des Präsidenten, Rostyslaw Schurma. Dieser hatte sich nach seiner Entlassung im September 2024 mit Familie nach Bayern abgesetzt.

Schurma steht im Verdacht, seinem Bruder öffentliche Fördermittel für Solarstromanlagen zugeschanzt zu haben, die auf von Russland besetztem Gebiet liegen und nicht mit dem ukrainischen Stromnetz verbunden sind. Zudem soll ein Unternehmen mit Verbindungen zu ihm überteuerte Staatsaufträge für Bahninfrastruktur erhalten haben.

Die Staatsanwaltschaft München II wollte die Razzia bei Selenskyj’s Ex-Vertrauten in Starnberg weder bestätigen noch dementieren. Es fehle an der Zustimmung der ukrainischen Seite zur öffentlichen Auskunft im Rahmen der internationalen Rechtshilfe, hieß es.

Selenskyj selbst reagierte nicht mit Aufklärung, sondern mit Gegenangriffen. Er warf den eigenen Anti-Korruptions-Behörden russischen Einfluss vor. In einem umstrittenen Gesetz vom 22. Juli ließ er unter diesem Vorwand deren Unabhängigkeit beschneiden, musste diesen Schritt aber wieder zurücknehmen. Das Parlament stimmte in dieser Woche für eine Wiederherstellung der Ermittlungsfreiheit. Zurückbleibt ein übler Nachgschmack: Wollte Selenskyj die eigenen Behörden nur deshalb entmachten, weil sich der Korruptionsverdacht gegen ihn und sein Umfeld erhärtet?

Es geht auch um Grundstücks-Schiebereien

Im Zentrum der Affäre steht auch der frühere Vize-Ministerpräsident Oleksyj Tschernyschow, der sich über Jahre hinweg in höchsten Staatsämtern halten konnte – u.a. als Gouverneur, Bauminister, „Naftogaz“-Chef und zuletzt als „Minister für nationale Einheit“.

Laut Anklage soll Tschernyschow gemeinsam mit einem Unternehmer in einen Immobilien-Skandal mit einem Schaden in Höhe von 21 Millionen Euro für den ukrainischen Staat verstrickt sein. Dabei soll staatliches Land über ein zwischengeschaltetes Unternehmen deutlich unter Marktwert abgegeben worden sein; die „Gegenleistung“ soll in Gestalt der Überlassung von Wohnungen zu Vorzugspreisen erbracht worden sein.

Lockdown-Party zum Geburtstag

Brisant: Tschernyschow war nicht nur politisch eng mit Selenskyj verbunden, sondern auch gesellschaftlich. Am 25. Januar 2021 feierte Tschernyschow gemeinsam mit Selenskyj dessen 43. Geburtstag – während der Rest des Landes im harten Lockdown verharrte. Die Party fand in einer Wohnung statt, in der auch Selenskyjs Ehefrau geschäftlich engagiert war. Diese Episode offenbart das wahre Gesicht der Selenskyj-Clique: Während normale Bürger unter drakonischen Maßnahmen litten, ließ die „Familie“ – wie der engste Machtzirkel in Kiew genannt wird – die Champagner-Korken knallen! Und wer weiß, was sonst noch so auf der Geburtstagsparty herumgereicht wurde…",Deutschlandkurier
2025-08-02,Gefährliche Eskalation: Trump entsendet zwei Atom-U-Boote Richtung Russland,"US-Präsident Donald Trump hat zwei Atom-U-Booten der US-Marine den Befehl gegeben, Kurs Richtung Russland zu nehmen. Vorangegangen waren Äußerungen des ehemaligen russischen Präsidenten und Putin-Vertrauten Dmitri Medwedew, der den US-Präsidenten einen „Opa“ genannt hatte und dessen verkürztes Ukraine-Ultimatum als „Schritt Richtung Krieg“ bezeichnet hatte.

Trump schrieb daraufhin auf seiner Plattform „Truth Social“: „Aufgrund der äußerst provokativen Äußerungen des ehemaligen Präsidenten Russlands, Dmitri Medwedew, der nun stellvertretender Vorsitzender des Sicherheitsrats der Russischen Föderation ist, habe ich angeordnet, zwei Atom-U-Boote in den entsprechenden Regionen zu stationieren.“ Worte seien wichtig und könnten zu „unbeabsichtigten Folgen führen“, warnte der US-Präsident. Deshalb schicke er die Atom-U-Boote „für den Fall, dass diese törichten und aufwieglerischen Äußerungen mehr als nur das sind“. Einen konkreten Standort für die Position der Atom-U-Boote nannte der US-Präsident nicht.

Trump hatte Kreml-Chef Wladimir Putin vor gut zwei Wochen Russland eine 50-Tage-Frist zur Beendigung des Ukraine-Kriegs gesetzt und diese Anfang der Woche auf zehn oder zwölf Tage verkürzt.",Deutschlandkurier
2025-08-02,Rechnungsprüfer rügen „Bürgergeld“-Ministerin Bas (SPD): Sie spart NICHTS!,"Alle müssen sparen – nur eine nicht: Arbeits- und Sozialministerin Bärbel Bas (SPD), zuständig für das sogenannte „Bürgergeld“, haut das Geld der Steuerzahler nur so raus und hält sich an keine Sparziele!

Dafür hat der Bundesrechnungshof (BRH) die SPD-Chefin jetzt heftig gerügt. In einem 33-Seiten-Prüfbericht kritisieren die Bonner Rechnungsprüfer: „Reformbemühungen konnten bisher nicht vollends überzeugen.“

Der BRH moniert, dass der Bas-Haushalt (Einzelplan 11) alle Sparziele verfehle: „Die Ausgaben im Einzelplan 11 werden nach der Finanzplanung des Bundes bis zum Jahr 2029 weiter steigen und dann bei 219,2 Mrd. Euro liegen.“

▶ Beispiel „Bürgergeld“, das jetzt „Grundsicherung für Arbeitsuchende“ heißt: Geplant waren Kosten von 45 Milliarden Euro – nun sind es 52 Milliarden. Die im Vergleich zu 2024 geplanten Einsparungen von 6,7 Milliarden Euro sind vom Tisch!

▶ Ähnlich sieht’s beim Job-Turbo aus, der Migranten schneller in bezahlte Arbeit bringen soll: Im Jahr 2025 erwartete die Regierung ursprünglich Einsparungen von 1,5 Mrd. Euro durch den Job-Turbo. Aus den Unterlagen zum zweiten Regierungsentwurf sind keine entsprechenden Einsparungen mehr erkennbar!

Der Staat lebt über seine Verhältnisse

Der Rechnungshof warnt in seinem Bericht vor einem Kollaps der Sozialsysteme – denn: Die Sozialausgaben steigen dramatisch schneller als die Produktivität und die Wirtschaftskraft in Deutschland: „Die Ausgaben in der Grundsicherung für Arbeitsuchende stiegen um 50 Prozent und damit noch deutlicher an. Im Vergleich dazu wuchs das nominale Bruttoinlandsprodukt (BIP) nur um knapp 35 Prozent“, der BRH fest.

Im Klartext: Der Anstieg der Sozialausgaben übersteigt das Plus beim Erwirtschafteten drastisch, der Staat lebt über seine Verhältnisse! Mit rund 190 Milliarden Euro macht der Sozialetat 2025 fast 40 Prozent des Gesamthaushalts aus.

Der BRH rügt auch die Jobcenter für Schlendrian beim „Bürgergeld“: „Die Jobcenter beurteilten die Angemessenheit der Kosten der Unterkunft nach unterschiedlichen Maßstäben. Sie übernahmen überproportional hohe Kosten, verzichteten auf Nachweise und hatten keinen Überblick über Personen in unangemessen teurem oder großem Wohnraum. Viele Probleme bestehen seit Jahren und sind verfestigt.“",Deutschlandkurier
