source,category,coded_contexts,unique_articles_with_label,outlet_total_contexts,outlet_total_articles,avg_hits_per_context,avg_unique_entities_per_context,share_within_outlet_pct
Antispiegel,POSITIONS-/PARTEILICHKEITS-BIAS,75,51,540,221,2.56,1.09,13.89
Antispiegel,VERZERRUNG/MANIPULATION,163,82,540,221,2.56,1.09,30.19
Antispiegel,DISINFORMATION/FALSCHDARSTELLUNG,45,32,540,221,2.56,1.09,8.33
Antispiegel,VERSAGEN/INKOMPETENZ,26,19,540,221,2.56,1.09,4.81
Antispiegel,NEUTRAL,223,138,540,221,2.56,1.09,41.3
Antispiegel,IRRELEVANT,8,8,540,221,2.56,1.09,1.48
Compact,POSITIONS-/PARTEILICHKEITS-BIAS,81,62,512,356,1.36,1.15,15.82
Compact,VERZERRUNG/MANIPULATION,58,50,512,356,1.36,1.15,11.33
Compact,DISINFORMATION/FALSCHDARSTELLUNG,34,29,512,356,1.36,1.15,6.64
Compact,VERSAGEN/INKOMPETENZ,9,9,512,356,1.36,1.15,1.76
Compact,NEUTRAL,283,227,512,356,1.36,1.15,55.27
Compact,IRRELEVANT,47,36,512,356,1.36,1.15,9.18
Deutschlandkurier,POSITIONS-/PARTEILICHKEITS-BIAS,94,71,381,294,1.68,1.31,24.67
Deutschlandkurier,VERZERRUNG/MANIPULATION,21,21,381,294,1.68,1.31,5.51
Deutschlandkurier,DISINFORMATION/FALSCHDARSTELLUNG,18,15,381,294,1.68,1.31,4.72
Deutschlandkurier,VERSAGEN/INKOMPETENZ,5,5,381,294,1.68,1.31,1.31
Deutschlandkurier,NEUTRAL,242,206,381,294,1.68,1.31,63.52
Deutschlandkurier,IRRELEVANT,1,1,381,294,1.68,1.31,0.26
Nius,POSITIONS-/PARTEILICHKEITS-BIAS,362,212,2026,1105,2.1,1.41,17.87
Nius,VERZERRUNG/MANIPULATION,296,185,2026,1105,2.1,1.41,14.61
Nius,DISINFORMATION/FALSCHDARSTELLUNG,108,81,2026,1105,2.1,1.41,5.33
Nius,VERSAGEN/INKOMPETENZ,91,75,2026,1105,2.1,1.41,4.49
Nius,NEUTRAL,1127,831,2026,1105,2.1,1.41,55.63
Nius,IRRELEVANT,42,37,2026,1105,2.1,1.41,2.07
RT_de,POSITIONS-/PARTEILICHKEITS-BIAS,172,137,1862,1149,1.58,1.24,9.24
RT_de,VERZERRUNG/MANIPULATION,160,123,1862,1149,1.58,1.24,8.59
RT_de,DISINFORMATION/FALSCHDARSTELLUNG,43,36,1862,1149,1.58,1.24,2.31
RT_de,VERSAGEN/INKOMPETENZ,23,22,1862,1149,1.58,1.24,1.24
RT_de,NEUTRAL,1433,994,1862,1149,1.58,1.24,76.96
RT_de,IRRELEVANT,31,29,1862,1149,1.58,1.24,1.66
Tagesschau,POSITIONS-/PARTEILICHKEITS-BIAS,31,29,4370,2972,1.22,1.1,0.71
Tagesschau,VERZERRUNG/MANIPULATION,13,13,4370,2972,1.22,1.1,0.3
Tagesschau,DISINFORMATION/FALSCHDARSTELLUNG,5,5,4370,2972,1.22,1.1,0.11
Tagesschau,VERSAGEN/INKOMPETENZ,5,5,4370,2972,1.22,1.1,0.11
Tagesschau,NEUTRAL,4281,2941,4370,2972,1.22,1.1,97.96
Tagesschau,IRRELEVANT,35,31,4370,2972,1.22,1.1,0.8
Tichys_Einblick,POSITIONS-/PARTEILICHKEITS-BIAS,594,402,2282,1107,1.82,1.34,26.03
Tichys_Einblick,VERZERRUNG/MANIPULATION,373,290,2282,1107,1.82,1.34,16.35
Tichys_Einblick,DISINFORMATION/FALSCHDARSTELLUNG,124,94,2282,1107,1.82,1.34,5.43
Tichys_Einblick,VERSAGEN/INKOMPETENZ,163,130,2282,1107,1.82,1.34,7.14
Tichys_Einblick,NEUTRAL,979,678,2282,1107,1.82,1.34,42.9
Tichys_Einblick,IRRELEVANT,49,45,2282,1107,1.82,1.34,2.15
