term,regex_pattern,category,sub_type,notes,total_hits,doc_count,pct_docs,alt_doc_total,main_doc_total,alt_skew,docs_Antispiegel,docs_Compact,docs_Nius,docs_RT_de,docs_Tichys_Einblick,docs_Deutschlandkurier,docs_Tagesschau,hits_Antispiegel,hits_Compact,hits_Nius,hits_RT_de,hits_Tichys_Einblick,hits_Deutschlandkurier,hits_Tagesschau
Mainstreammedien,\bMainstreammedien\b|\bMainstream[- ]Medien\b,critical_label,delegitimising,,252,209,1.0,198,11,18.0,32,47,11,41,35,43,0,44,55,17,45,40,51,0
Staatsmedien,\bStaatsmedien\b,critical_label,delegitimising,,97,86,0.4,47,39,1.21,1,3,1,24,19,0,38,1,3,1,26,21,0,45
Staatsfunk,\bStaatsfunk\b,critical_label,delegitimising,,42,38,0.2,35,3,11.67,0,3,3,1,21,10,0,0,3,3,1,24,11,0
Qualitätsmedien,\bQualitätsmedien\b,critical_label,ironic,Scare-quoted 'quality media' – ironically derogatory in alt media,32,26,0.1,22,4,5.5,5,1,4,3,13,0,0,6,1,4,4,17,0,0
Staatssender,\bStaatssender\w*\b,critical_label,delegitimising,,31,27,0.1,22,5,4.4,5,0,1,8,9,0,4,6,0,1,8,12,0,4
Lügenpresse,\bLügenpresse\b,critical_label,delegitimising,Most iconic delegitimising term,20,19,0.1,16,3,5.33,0,14,3,0,2,0,0,0,15,3,0,2,0,0
Haltungsjournalisten,\bHaltungsjournalist\w*\b,critical_label,delegitimising,,20,11,0.1,2,9,0.22,0,0,9,0,2,0,0,0,0,18,0,2,0,0
Gleichschaltung,\bGleichschaltung\b,critical_label,delegitimising,Nazi-era term reappropriated for media criticism,19,17,0.1,15,2,7.5,0,1,2,4,10,0,0,0,1,3,4,11,0,0
Mainstreampresse,\bMainstreampresse\b,critical_label,delegitimising,,17,16,0.1,16,0,16.0,0,14,0,2,0,0,0,0,15,0,2,0,0,0
Altmedien,\bAltmedien\b,critical_label,delegitimising,Old media – derogatory; mirror of 'Alternativmedien',16,13,0.1,13,0,13.0,0,0,0,0,13,0,0,0,0,0,0,16,0,0
Systemmedien,\bSystemmedien\b,critical_label,delegitimising,,13,12,0.1,11,1,11.0,0,2,1,5,3,1,0,0,2,1,5,3,2,0
Qualitätsjournalismus,\bQualitätsjournalismus\w*\b,critical_label,ironic,,13,13,0.1,10,3,3.33,3,0,2,2,4,1,1,3,0,2,2,4,1,1
Alternativmedien,\bAlternativmedien\b,critical_label,self-label,Alternative media – self-designation in alt sphere,13,10,0.0,8,2,4.0,0,8,1,0,0,0,1,0,10,2,0,0,0,1
Gesternmedien,\bGesternmedien\b,critical_label,delegitimising,Yesterday's media – very alt-media specific,11,7,0.0,7,0,7.0,0,0,0,0,7,0,0,0,0,0,0,11,0,0
Haltungsmedien,\bHaltungsmedien\b,critical_label,delegitimising,,10,8,0.0,4,4,1.0,0,0,4,0,4,0,0,0,0,5,0,5,0,0
Westmedien,\bWestmedien\b,critical_label,delegitimising,Western media – used by RT_de and pro-Russia outlets,10,10,0.0,10,0,10.0,0,0,0,7,3,0,0,0,0,0,7,3,0,0
Regierungsmedien,\bRegierungsmedien\b,critical_label,delegitimising,,7,7,0.0,7,0,7.0,0,1,0,0,6,0,0,0,1,0,0,6,0,0
Einheitsmeinung,\bEinheitsmeinung\b,critical_label,delegitimising,,7,5,0.0,4,1,4.0,0,2,1,0,2,0,0,0,2,2,0,3,0,0
Linkspresse,\bLinkspresse\b,critical_label,delegitimising,Left-wing press – right-wing framing,7,4,0.0,4,0,4.0,0,1,0,0,3,0,0,0,2,0,0,5,0,0
Qualitätspresse,\bQualitätspresse\b,critical_label,ironic,,7,7,0.0,7,0,7.0,0,0,0,1,6,0,0,0,0,0,1,6,0,0
Haltungsjournalismus,\bHaltungsjournalismus\w*\b,critical_label,delegitimising,,6,6,0.0,3,3,1.0,0,0,3,0,2,1,0,0,0,3,0,2,1,0
Propagandamedien,\bPropagandamedien\b,critical_label,delegitimising,,5,5,0.0,2,3,0.67,0,1,2,1,0,0,1,0,1,2,1,0,0,1
Propagandasender,\bPropagandasender\b,critical_label,delegitimising,,5,4,0.0,1,3,0.33,0,0,1,1,0,0,2,0,0,2,1,0,0,2
Betreuungsmedien,\bBetreuungsmedien\b,critical_label,delegitimising,Caretaker/nannying media,5,4,0.0,0,4,0.0,0,0,4,0,0,0,0,0,0,5,0,0,0,0
Propagandamaschine,\bPropagandamaschine\b,critical_label,delegitimising,,4,4,0.0,4,0,4.0,0,0,0,1,3,0,0,0,0,0,1,3,0,0
Medienpropaganda,\bMedienpropaganda\b,critical_label,delegitimising,,4,4,0.0,4,0,4.0,0,0,0,2,1,1,0,0,0,0,2,1,1,0
Hofberichterstattung,\bHofberichterstattung\b,critical_label,delegitimising,Court journalism / sycophantic coverage,4,4,0.0,3,1,3.0,0,0,1,0,3,0,0,0,0,1,0,3,0,0
Jubelmedien,\bJubelmedien\b,critical_label,delegitimising,Cheerleader media,3,3,0.0,3,0,3.0,0,0,0,0,3,0,0,0,0,0,0,3,0,0
Erziehungsmedien,\bErziehungsmedien\b,critical_label,delegitimising,Instructional media – paternalistic framing,3,3,0.0,0,3,0.0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
Staatsrundfunk,\bStaatsrundfunk\b,critical_label,delegitimising,,2,2,0.0,1,1,1.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
